id,url,name,season,number,type,airdate,airtime,airstamp,runtime,image,summary,rating.average,_links.self.href,_links.show.href,_embedded.show.id,_embedded.show.url,_embedded.show.name,_embedded.show.type,_embedded.show.language,_embedded.show.genres,_embedded.show.status,_embedded.show.runtime,_embedded.show.averageRuntime,_embedded.show.premiered,_embedded.show.ended,_embedded.show.officialSite,_embedded.show.schedule.time,_embedded.show.schedule.days,_embedded.show.rating.average,_embedded.show.weight,_embedded.show.network,_embedded.show.webChannel.id,_embedded.show.webChannel.name,_embedded.show.webChannel.country.name,_embedded.show.webChannel.country.code,_embedded.show.webChannel.country.timezone,_embedded.show.webChannel.officialSite,_embedded.show.dvdCountry,_embedded.show.externals.tvrage,_embedded.show.externals.thetvdb,_embedded.show.externals.imdb,_embedded.show.image.medium,_embedded.show.image.original,_embedded.show.summary,_embedded.show.updated,_embedded.show._links.self.href,_embedded.show._links.previousepisode.href,image.medium,image.original,_embedded.show.image,_embedded.show.network.id,_embedded.show.network.name,_embedded.show.network.country.name,_embedded.show.network.country.code,_embedded.show.network.country.timezone,_embedded.show.network.officialSite,_embedded.show._links.nextepisode.href,_embedded.show.webChannel,_embedded.show.webChannel.country
2430805,https://www.tvmaze.com/episodes/2430805/planet-sex-with-cara-delevingne-1x05-monogamish,Monogamish,1,5.0,regular,2022-12-01,06:00,2022-12-01T06:00:00+00:00,49.0,,"<p>Love has always fascinated Cara. It's time to think beyond monogamy. Cara takes a DNA test in London and has a brain scan in the USA to reveal the secret science of love. She also explores solo weddings in Japan, polyamory in South Africa and non-monogamy in LA.</p>",,https://api.tvmaze.com/episodes/2430805,https://api.tvmaze.com/shows/65188,65188,https://www.tvmaze.com/shows/65188/planet-sex-with-cara-delevingne,Planet Sex with Cara Delevingne,Documentary,English,"['Adult', 'Medical']",To Be Determined,,49.0,2022-12-01,,https://www.bbc.co.uk/programmes/p0df24z1,,[],,84,,26.0,BBC iPlayer,United Kingdom,GB,Europe/London,https://www.bbc.co.uk/iplayer,,,426222.0,tt13027412,https://static.tvmaze.com/uploads/images/medium_portrait/431/1078946.jpg,https://static.tvmaze.com/uploads/images/original_untouched/431/1078946.jpg,"<p>On this immersive journey, Cara Delevingne puts her mind and body on the line in search of answers regarding human sexuality, its joys, mysteries, and constantly changing nature. In every episode, she shares her own personal experiences. Uniquely unfiltered and authentic, there's no limit on how far Cara's willing to go to explore what makes us all human.</p>",1687132439,https://api.tvmaze.com/shows/65188,https://api.tvmaze.com/episodes/2430806,https://static.tvmaze.com/uploads/images/medium_landscape/431/1079894.jpg,https://static.tvmaze.com/uploads/images/original_untouched/431/1079894.jpg,,,,,,,,,,
2430806,https://www.tvmaze.com/episodes/2430806/planet-sex-with-cara-delevingne-1x06-do-you-think-im-hot,Do You Think I'm Hot?,1,6.0,regular,2022-12-01,06:00,2022-12-01T06:00:00+00:00,49.0,,"<p>Cara consults a cosmetic surgeon and investigates where our ideas about beauty come from. She explores colourism in South Africa, plastic surgery in Colombia and talks body positivity everywhere.</p>",,https://api.tvmaze.com/episodes/2430806,https://api.tvmaze.com/shows/65188,65188,https://www.tvmaze.com/shows/65188/planet-sex-with-cara-delevingne,Planet Sex with Cara Delevingne,Documentary,English,"['Adult', 'Medical']",To Be Determined,,49.0,2022-12-01,,https://www.bbc.co.uk/programmes/p0df24z1,,[],,84,,26.0,BBC iPlayer,United Kingdom,GB,Europe/London,https://www.bbc.co.uk/iplayer,,,426222.0,tt13027412,https://static.tvmaze.com/uploads/images/medium_portrait/431/1078946.jpg,https://static.tvmaze.com/uploads/images/original_untouched/431/1078946.jpg,"<p>On this immersive journey, Cara Delevingne puts her mind and body on the line in search of answers regarding human sexuality, its joys, mysteries, and constantly changing nature. In every episode, she shares her own personal experiences. Uniquely unfiltered and authentic, there's no limit on how far Cara's willing to go to explore what makes us all human.</p>",1687132439,https://api.tvmaze.com/shows/65188,https://api.tvmaze.com/episodes/2430806,https://static.tvmaze.com/uploads/images/medium_landscape/431/1079895.jpg,https://static.tvmaze.com/uploads/images/original_untouched/431/1079895.jpg,,,,,,,,,,
2478121,https://www.tvmaze.com/episodes/2478121/reef-school-1x18-follow-the-leader,Follow the Leader,1,18.0,regular,2022-12-01,17:55,2022-12-01T06:55:00+00:00,11.0,,<p>The little Reefies want to know all about getting older. Mr Flip tells them a story about a seal who goes on a grown-up adventure to meet a sea dragon.</p>,,https://api.tvmaze.com/episodes/2478121,https://api.tvmaze.com/shows/65444,65444,https://www.tvmaze.com/shows/65444/reef-school,Reef School,Animation,English,[],To Be Determined,11.0,11.0,2022-11-14,,https://iview.abc.net.au/show/reef-school,17:55,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']",4.5,16,,,,,,,,,,,,https://static.tvmaze.com/uploads/images/medium_portrait/443/1108933.jpg,https://static.tvmaze.com/uploads/images/original_untouched/443/1108933.jpg,"<p>Welcome to Reef School, where every day is an underwater adventure! Join the little Reefies and their teacher Mr. Flip as they discover the extraordinary wonders of an imaginary Australian coral reef.</p>",1674568258,https://api.tvmaze.com/shows/65444,https://api.tvmaze.com/episodes/2478123,https://static.tvmaze.com/uploads/images/medium_landscape/443/1108949.jpg,https://static.tvmaze.com/uploads/images/original_untouched/443/1108949.jpg,,1154.0,ABC KIDS,Australia,AU,Australia/Sydney,,,,
2439147,https://www.tvmaze.com/episodes/2439147/hollyoaks-28x240-episode-240,Episode 240,28,240.0,regular,2022-12-01,07:00,2022-12-01T07:00:00+00:00,,,,,https://api.tvmaze.com/episodes/2439147,https://api.tvmaze.com/shows/4175,4175,https://www.tvmaze.com/shows/4175/hollyoaks,Hollyoaks,Scripted,English,['Drama'],Running,,30.0,1995-10-23,,http://www.channel4.com/programmes/hollyoaks,,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",,70,,52.0,Channel 4,United Kingdom,GB,Europe/London,https://www.channel4.com/,,1888.0,78006.0,tt0112004,https://static.tvmaze.com/uploads/images/medium_portrait/73/183727.jpg,https://static.tvmaze.com/uploads/images/original_untouched/73/183727.jpg,<p><b>Hollyoaks</b> follows the lives of a group of residents living in the fictional village of Chester.</p>,1685707384,https://api.tvmaze.com/shows/4175,https://api.tvmaze.com/episodes/2505895,,,,,,,,,,,,
2440493,https://www.tvmaze.com/episodes/2440493/nocnoj-kontakt-7x38-v-gostah-super-stas,В гостях: Супер Стас,7,38.0,regular,2022-12-01,20:20,2022-12-01T08:20:00+00:00,30.0,,,,https://api.tvmaze.com/episodes/2440493,https://api.tvmaze.com/shows/48252,48252,https://www.tvmaze.com/shows/48252/nocnoj-kontakt,Ночной Контакт,Talk Show,Russian,[],Running,30.0,30.0,2018-01-25,,https://vk.com/nochnoy_kontakt,20:20,['Thursday'],,16,,208.0,VK Видео,Russian Federation,RU,Asia/Kamchatka,https://vk.com/video,,,,,,,,1672255288,https://api.tvmaze.com/shows/48252,https://api.tvmaze.com/episodes/2457194,,,,,,,,,,,,
2440842,https://www.tvmaze.com/episodes/2440842/antipodi-3x54-138-valentin-gladkih,138. Валентин Гладких,3,54.0,regular,2022-12-01,,2022-12-01T10:00:00+00:00,121.0,,,,https://api.tvmaze.com/episodes/2440842,https://api.tvmaze.com/shows/64523,64523,https://www.tvmaze.com/shows/64523/antipodi,Антиподи,Talk Show,Ukrainian,[],Running,95.0,98.0,2019-10-18,,https://youtube.com/playlist?list=PL0uXplhINGZTe7gT9-VihKKOLqzx5cdvO,20:00,['Thursday'],,4,,540.0,Ісландія,Ukraine,UA,Europe/Zaporozhye,http://islnd.tv,,,,,https://static.tvmaze.com/uploads/images/medium_portrait/424/1062380.jpg,https://static.tvmaze.com/uploads/images/original_untouched/424/1062380.jpg,"<p>Every week people come to Serhii Ivanov who have diametrically opposite points of view on certain issues – <b>Антиподи</b>. In communication and disputes, the truth will be manifested, or confidence in its absence. Determination is already a result, even if with a negative mark.</p>",1690376318,https://api.tvmaze.com/shows/64523,https://api.tvmaze.com/episodes/2604427,,,,,,,,,,,,
2418828,https://www.tvmaze.com/episodes/2418828/bride-of-the-typhoon-1x33-episode-33,Episode 33,1,33.0,regular,2022-12-01,19:50,2022-12-01T10:50:00+00:00,40.0,,,,https://api.tvmaze.com/episodes/2418828,https://api.tvmaze.com/shows/63939,63939,https://www.tvmaze.com/shows/63939/bride-of-the-typhoon,Bride of the Typhoon,Scripted,Korean,['Drama'],Ended,40.0,39.0,2022-10-10,2023-03-09,https://program.kbs.co.kr/2tv/drama/vengeanceofbride/pc/index.html,19:50,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",,22,,114.0,wavve,"Korea, Republic of",KR,Asia/Seoul,https://www.wavve.com/,,,425785.0,,https://static.tvmaze.com/uploads/images/medium_portrait/424/1061856.jpg,https://static.tvmaze.com/uploads/images/original_untouched/424/1061856.jpg,<p>The story of a woman who became the daughter-in-law of an enemy for desperate revenge.</p>,1678394763,https://api.tvmaze.com/shows/63939,https://api.tvmaze.com/episodes/2499700,https://static.tvmaze.com/uploads/images/medium_landscape/432/1081947.jpg,https://static.tvmaze.com/uploads/images/original_untouched/432/1081947.jpg,,128.0,KBS2,"Korea, Republic of",KR,Asia/Seoul,,,,
2435026,https://www.tvmaze.com/episodes/2435026/de-grootste-meesteroplichter-ter-wereld-1x04-aflevering-4,Aflevering 4,1,4.0,regular,2022-12-01,,2022-12-01T11:00:00+00:00,,,,,https://api.tvmaze.com/episodes/2435026,https://api.tvmaze.com/shows/65303,65303,https://www.tvmaze.com/shows/65303/de-grootste-meesteroplichter-ter-wereld,De Grootste Meesteroplichter ter Wereld,Documentary,Dutch,[],Running,,,2022-11-10,,,,['Thursday'],,2,,546.0,HLN,Belgium,BE,Europe/Brussels,https://hln.be/videos,,,,,https://static.tvmaze.com/uploads/images/medium_portrait/431/1078591.jpg,https://static.tvmaze.com/uploads/images/original_untouched/431/1078591.jpg,,1668909458,https://api.tvmaze.com/shows/65303,https://api.tvmaze.com/episodes/2435028,,,,,,,,,,,,
2456095,https://www.tvmaze.com/episodes/2456095/ylvis-i-sogn-1x09-stao-no-pao,Stao No Pao,1,9.0,regular,2022-12-01,,2022-12-01T11:00:00+00:00,19.0,,"<p>Sogndal football's legendary supporters' song gets both a musical makeover and a new music video from the Ylvis brothers, with good help from, among others, Kjartan Lauritzen and Olav Stedje.</p>",,https://api.tvmaze.com/episodes/2456095,https://api.tvmaze.com/shows/66037,66037,https://www.tvmaze.com/shows/66037/ylvis-i-sogn,Ylvis i Sogn,Reality,Norwegian,['Comedy'],Ended,,17.0,2022-10-13,2022-12-08,https://tv.vg.no/kategori/100494/ylvis-i-sogn,,['Thursday'],,1,,328.0,VGTV,Norway,NO,Europe/Oslo,,,,425193.0,,https://static.tvmaze.com/uploads/images/medium_portrait/437/1093152.jpg,https://static.tvmaze.com/uploads/images/original_untouched/437/1093152.jpg,"<p>Bård surprises Vegard and Bjarte at dawn, and the brothers get a big challenge!</p>",1680423698,https://api.tvmaze.com/shows/66037,https://api.tvmaze.com/episodes/2456096,https://static.tvmaze.com/uploads/images/medium_landscape/437/1093191.jpg,https://static.tvmaze.com/uploads/images/original_untouched/437/1093191.jpg,,,,,,,,,,
2461021,https://www.tvmaze.com/episodes/2461021/facil-1x01-esta-clarisimo,Está clarísimo,1,1.0,regular,2022-12-01,,2022-12-01T11:00:00+00:00,32.0,,,,https://api.tvmaze.com/episodes/2461021,https://api.tvmaze.com/shows/66150,66150,https://www.tvmaze.com/shows/66150/facil,Fácil,Scripted,Spanish,['Comedy'],Ended,,34.0,2022-12-01,2022-12-01,https://facil.movistarplus.es/,,[],,4,,169.0,Movistar+,Spain,ES,Europe/Madrid,https://ver.movistarplus.es/,,,423165.0,tt20755454,https://static.tvmaze.com/uploads/images/medium_portrait/439/1097726.jpg,https://static.tvmaze.com/uploads/images/original_untouched/439/1097726.jpg,<p><b>Fácil</b> brings us closer to the lives of four women with functional diversity who want to live together in a flat in Barceloneta.</p>,1672753159,https://api.tvmaze.com/shows/66150,https://api.tvmaze.com/episodes/2461025,https://static.tvmaze.com/uploads/images/medium_landscape/439/1098002.jpg,https://static.tvmaze.com/uploads/images/original_untouched/439/1098002.jpg,,,,,,,,,,
